,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
noQ,2.986 ,2.986 ,2.926 ,2.926 ,2.986 ,2.780 ,2.655 ,2.986 ,2.797 ,3.996 ,2.926 ,2.926 ,2.780 ,2.623 ,2.674 ,3.066 ,2.986 ,2.986 ,2.986 
4,2.997 ,3.160 ,3.390 ,3.028 ,3.428 ,3.160 ,2.986 ,2.926 ,2.986 ,4.196 ,3.270 ,2.986 ,3.579 ,2.926 ,2.986 ,3.448 ,3.376 ,3.160 ,3.160 
,3.038 ,3.091 ,3.160 ,2.986 ,3.367 ,3.089 ,2.986 ,2.926 ,2.986 ,4.122 ,2.994 ,2.986 ,3.390 ,2.941 ,2.986 ,3.442 ,3.593 ,3.160 ,2.997 
5,2.986 ,2.986 ,3.160 ,2.986 ,3.359 ,3.032 ,2.926 ,2.926 ,2.986 ,4.182 ,2.994 ,2.986 ,3.160 ,2.747 ,2.986 ,3.429 ,3.270 ,3.091 ,2.986 
,2.997 ,2.986 ,3.001 ,2.926 ,3.241 ,2.986 ,2.926 ,2.780 ,2.986 ,4.244 ,2.994 ,2.986 ,3.073 ,2.747 ,2.831 ,3.429 ,3.180 ,2.986 ,2.986 
6,3.069 ,2.986 ,2.986 ,2.747 ,3.160 ,2.986 ,2.855 ,2.780 ,2.926 ,4.390 ,2.986 ,2.941 ,2.986 ,2.817 ,2.831 ,3.429 ,3.180 ,2.986 ,2.986 
,3.038 ,2.986 ,2.986 ,2.793 ,3.160 ,2.986 ,2.926 ,2.736 ,2.986 ,4.274 ,2.986 ,2.986 ,2.986 ,2.986 ,2.831 ,3.429 ,3.160 ,2.986 ,2.986 
,3.069 ,2.986 ,2.986 ,2.793 ,3.160 ,2.940 ,2.926 ,2.736 ,2.986 ,4.274 ,2.986 ,2.986 ,2.986 ,2.941 ,2.831 ,3.428 ,3.044 ,2.986 ,2.986 
min,2.986 ,2.986 ,2.986 ,2.747 ,3.160 ,2.940 ,2.855 ,2.736 ,2.926 ,4.122 ,2.986 ,2.941 ,2.986 ,2.747 ,2.831 ,3.428 ,3.044 ,2.986 ,2.986 
,0.000 ,0.000 ,-0.060 ,0.179 ,-0.173 ,-0.160 ,-0.199 ,0.250 ,-0.129 ,-0.125 ,-0.060 ,-0.015 ,-0.206 ,-0.124 ,-0.157 ,-0.362 ,-0.057 ,0.000 ,0.000 
