,1,2,3,,,,,,,,,,,,,,,,,
noQ,2.339255651,2.357022604,2.108185107,,,,,,,,,,,,,,,,,
4,3.018461713,2.374442777,1.943650632,,,,,,,,,,,,,,,,,
4.5,2.727564749,2.426703296,1.723518612,,,,,,,,,,,,,,,,,
5,2.538591035,2.426703296,1.723518612,,,,,,,,,,,,,,,,,
5.5,2.357022604,2.357022604,1.699673171,,,,,,,,,,,,,,,,,
6,2.357022604,2.266306634,1.699673171,,,,,,,,,,,,,,,,,
6.5,2.357022604,2.054284319,1.699673171,,,,,,,,noQ,4,4.5,5,5.5,6,6.5,7,7.5,8
7,2.236067977,2.02758751,1.699673171,,,,,,,1,2.339255651,3.018461713,2.727564749,2.538591035,2.357022604,2.357022604,2.357022604,2.236067977,2.266306634,2.266306634
7.5,2.266306634,2.02758751,1.699673171,,,,,,,2,2.357022604,2.374442777,2.426703296,2.426703296,2.357022604,2.266306634,2.054284319,2.02758751,2.02758751,2.236067977
8,2.266306634,2.236067977,1.699673171,,,,,,,3,2.108185107,1.943650632,1.723518612,1.723518612,1.699673171,1.699673171,1.699673171,1.699673171,1.699673171,1.699673171
